location,address,city,zip_code,lat,lon,category,state,info
Yandell Hotel & Grocery Store,331 Main St,Pineville,,35.085623,-80.891169,historic,NC,Commercial
Agricultural Building (Long Creek),9213 Beatties Ford Rd,Huntersville,,35.3508363,-80.8894366,historic,NC,Eclectic
Davidson Colored School/Ada Jenkins School,212 Gamble St,Davidson,,35.4989337,-80.8537586,historic,NC,20th Century School 
McAuley Road Farmland,15425 McAuley Rd,Huntersville,,35.4252651,-80.7820938,historic,NC,Farmland
Louise Cotton Mill,1101 Hawthorne Ln,Charlotte,,35.2250319,-80.8183365,historic,NC,Textile Mill
City House,500 E Kingston Ave,Charlotte,,35.2098736,-80.8532389,historic,NC,Queen Anne
Funderburk-Plaxco House,316 E Matthews St,Matthews,,35.1170175,-80.7187347,historic,NC,Italianate
Nebel Knitting Mill Annex,127 W Worthington Ave,Charlotte,,35.2117507,-80.8608705,historic,NC,Art Moderne
Delburg Cotton Mill House,303 Delburg St,Davidson,,35.5041191,-80.849866,historic,NC,Mill Village
Rural Hill Plantation Expansion,4598 Neck Rd,Charlotte,,35.380953,-80.944877,historic,NC,Land
Torrance Mill,7828 Gilead Rd,Huntersville,,35.4061477,-80.895128,historic,NC,Grist/Saw Mill
Craig House,900 Ardsley Rd,Charlotte,,35.2014488,-80.8300369,historic,NC,Tudor Revival
Coco Cola Company Bottling Plant,1401 W Morehead St,Charlotte,,35.2286536,-80.8642861,historic,NC,Art Deco
Gateway & Century Building,402 W Trade St,Charlotte,,35.2298887,-80.8457795,historic,NC,Neoclassical
Mallonee-Jones House,400 E Kingston Ave,Charlotte,,35.2106859,-80.8544064,historic,NC,Queen Anne
Bank of Huntersville (former),100 Main St,Huntersville,,35.410837,-80.8410873,historic,NC,Commercial
Shotgun House A,711 E Seventh St,Charlotte,,35.2243523,-80.8336554,historic,NC,Shotgun
Cedar Grove Land,8315 Gilead Rd,Huntersville,,35.4084229,-80.883031,historic,NC,Land
Park Avenue Mill Village,412 Park Ave,Pineville,,35.0819967,-80.8936154,historic,NC,Mill Village
Cedar Grove Land,8200 Gilead Rd,Huntersville,,35.406148,-80.889106,historic,NC,Land
Independence Park,300 Hawthorne Ln,Charlotte,,35.214054,-80.8233757,historic,NC,Park
Star of St. Matthews Lodge #566,124 Morris Rd,Matthews,,35.1093385,-80.7109115,historic,NC,Concrete Masonry Unit
Lyles-Sims House,523 N Poplar St,Charlotte,,35.2326584,-80.8401951,historic,NC,Queen Anne
Grinnell/General Fire Extinguisher Company,1501 W Morehead St,Charlotte,,35.228775,-80.865576,historic,NC,Commercial/Industrial
