id,location,address,city,zip_code,lat,lon,category,state,info
263,Bethesda Schoolhouse,10520 Arthur Davis Rd,Huntersville,,35.3647178,-80.8193799,Historic,NC,Vernacular
264,Charlotte's Woman's Club,1001 E Morehead St,Charlotte,,35.2130419,-80.8433794,Historic,NC,Regency Revival
265,Excelsior Club,921 Beatties Ford Rd,Charlotte,,35.2519153,-80.8564819,Historic,NC,Art Moderne
266,Edgewood Farmhouse,11132 Eastfield Rd,Huntersville,,35.36889,-80.809684,Historic,NC,Federal
267,Myers Park Streetcar Waiting Station,101 Queens Rd,Charlotte,,35.211348,-80.826729,Historic,NC,Bungalow
268,Siloam School,10008 John Adams Rd,Charlotte,,35.3360105,-80.7386453,Historic,NC,Rural Vernacular
269,American Legion Memorial Stadium,310 N Kings Dr,Charlotte,,35.219053,-80.8292151,Historic,NC,Art Deco
270,Overcarsh House,326 W Eighth St,Charlotte,,35.2328047,-80.8414441,Historic,NC,Queen Anne
271,Textile Mill Supply Company Building,1300 S Mint St,Charlotte,,35.2213133,-80.8577911,Historic,NC,Mill Building
272,Mt. Zion Lutheran Church,1605 Luther St,Charlotte,,35.2099686,-80.8310858,Historic,NC,Gothic Revival
273,Wing Haven ,240 Ridgewood Ave,Charlotte,,35.1792177,-80.8414766,Historic,NC,Colonial Revival
